sync_id,id,score,accumulate_score,level,status,meta,submited_at,corrected_at,answered_count,teacher_id,audit_teacher_id,user_id,paper_id,browser,created_at,updated_at,deleted_at
12553,12980,,,,1,"{""progress"": 100}",2022-05-06,,1,,,18,1593,okhttp/4.9.1,2022-05-06,2022-05-06,
12554,12981,,,,0,"{""progress"": 0}",,,0,,,18,1591,okhttp/4.9.1,2022-05-06,2022-05-06,
12555,12982,,,,0,"{""progress"": 0}",,,0,,,18,1850,okhttp/4.9.1,2022-05-10,2022-05-10,
12556,12983,,,,0,"{""progress"": 0}",,,0,,,18,1853,okhttp/4.9.1,2022-05-10,2022-05-10,
5,230,100,,,3,"{""progress"": 50}",2017-06-30,2017-06-30,1,18,,18,227,,2017-06-30,2021-03-07,2021-03-07
6,231,100,,,3,"{""progress"": 100}",2017-06-30,2017-07-04,1,18,,18,245,,2017-06-30,2019-04-01,
7,232,100,,,3,"{""progress"": 100}",2017-07-03,2017-07-04,3,18,,18,259,,2017-06-30,2019-04-01,
8,233,100,,,3,"{""progress"": 50}",2017-07-04,2017-07-20,1,18,,18,260,,2017-06-30,2019-04-01,
9,234,,,,0,"{""progress"": 0}",,,0,,,18,237,,2017-07-03,2021-03-07,2021-03-07
10,235,,,,0,"{""progress"": 0}",,,0,,,18,237,,2017-07-03,2021-03-07,2021-03-07
